roll_no,Age,Gender,branch,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot
588,22,Male,Electrical,0,8,0,0,1
589,23,Male,Civil,1,7,0,0,0
590,22,Male,Civil,0,6,0,0,0
591,22,Male,Electrical,1,7,0,0,0
592,26,Male,"Information Technology",1,7,0,0,1
593,22,Male,Civil,0,7,0,1,0
594,21,Male,"Computer Science",1,7,0,0,0
595,26,Male,Civil,0,7,0,0,0
596,21,Male,"Computer Science",2,7,0,0,1
597,21,Male,"Computer Science",0,8,0,1,1
598,21,Male,"Information Technology",0,7,0,0,1
599,24,Male,"Computer Science",1,7,0,0,1
600,21,Male,"Computer Science",0,7,0,0,0
601,21,Male,"Information Technology",1,7,0,1,0
602,21,Male,"Electronics And Communication",0,7,0,0,1
603,23,Male,"Information Technology",0,8,0,0,1
604,22,Male,Electrical,0,7,0,1,0
605,22,Male,"Electronics And Communication",0,7,0,0,0
606,26,Female,"Information Technology",1,6,0,1,1
607,23,Male,"Electronics And Communication",1,6,1,1,0
608,22,Male,"Computer Science",1,6,0,0,0
609,22,Female,"Information Technology",1,7,1,0,0
610,24,Male,Civil,0,7,0,0,0
611,21,Male,"Computer Science",0,8,0,1,1
612,22,Male,Electrical,1,6,0,0,1
613,24,Male,"Computer Science",1,6,0,0,1
614,21,Female,Electrical,0,6,0,0,0
615,21,Female,Mechanical,1,5,1,0,0
616,25,Male,"Information Technology",1,6,0,0,1
617,22,Male,"Computer Science",2,6,0,0,1
618,21,Male,"Information Technology",0,6,0,0,0
619,22,Female,"Information Technology",1,6,1,0,0
620,25,Male,"Computer Science",0,8,0,0,1
621,22,Male,"Electronics And Communication",0,8,0,0,1
622,22,Male,"Computer Science",2,8,0,0,1
623,22,Male,"Computer Science",2,6,0,0,1
624,26,Male,Civil,0,8,1,0,1
625,21,Male,Electrical,0,7,0,0,0
626,21,Female,"Computer Science",1,7,1,0,0
627,21,Male,"Electronics And Communication",1,6,0,1,0
628,24,Male,Mechanical,0,6,1,0,1
629,22,Male,"Information Technology",1,6,0,0,0
630,22,Male,"Information Technology",0,6,0,0,0
631,22,Male,Civil,0,5,0,0,0
632,26,Female,Electrical,1,8,0,0,1
633,22,Male,"Information Technology",0,6,0,0,0
634,21,Male,"Computer Science",0,7,0,0,0
635,21,Male,Electrical,2,5,0,1,0
636,25,Male,"Information Technology",1,8,0,0,1
637,22,Male,Civil,1,6,1,0,0
638,22,Female,"Information Technology",0,8,0,0,1
639,22,Male,Civil,1,7,0,0,0
640,22,Male,"Computer Science",0,6,0,0,1
641,22,Male,Mechanical,0,7,0,0,0
642,21,Female,"Computer Science",1,7,1,0,0
643,21,Male,Mechanical,0,8,1,0,1
644,21,Male,"Computer Science",1,6,0,0,0
645,21,Female,"Information Technology",0,6,0,0,0
646,22,Female,"Electronics And Communication",1,5,1,0,0
647,21,Male,Mechanical,1,6,1,1,0
648,21,Male,"Information Technology",0,6,0,0,1
649,21,Female,"Information Technology",0,6,0,0,0
650,22,Male,"Computer Science",0,7,0,1,0
651,22,Male,Electrical,1,6,0,0,0
652,22,Male,"Electronics And Communication",1,7,0,0,0
653,22,Male,"Computer Science",0,5,0,0,0
654,21,Male,"Information Technology",0,6,0,0,0
655,21,Male,"Computer Science",0,7,0,0,0
656,22,Male,"Information Technology",1,6,0,0,1
657,21,Male,Civil,0,7,1,0,0
658,22,Male,"Information Technology",0,8,0,0,1
659,22,Female,"Computer Science",1,6,1,0,1
660,22,Male,Electrical,1,8,0,0,1
661,21,Male,"Computer Science",0,6,0,0,0
662,22,Male,"Electronics And Communication",1,8,0,0,1
663,22,Male,"Computer Science",0,6,0,0,0
664,22,Male,"Computer Science",0,5,0,0,0
665,21,Male,"Information Technology",1,6,1,0,0
666,21,Female,"Computer Science",1,6,1,0,1
667,21,Male,"Information Technology",0,7,0,0,0
668,22,Male,"Computer Science",1,6,0,0,0
669,21,Male,Civil,1,8,0,0,1
670,22,Female,"Electronics And Communication",1,6,0,1,0
671,21,Female,"Information Technology",1,6,0,0,1
672,21,Male,"Computer Science",1,7,0,0,0
673,21,Male,Electrical,0,8,0,0,1
674,22,Male,Civil,0,7,1,0,0
675,21,Male,"Information Technology",0,6,0,0,0
676,21,Male,"Computer Science",2,7,0,1,0
677,21,Male,Mechanical,0,7,1,0,0
678,22,Male,Mechanical,0,7,1,0,0
679,21,Male,"Computer Science",1,8,0,0,1
680,22,Female,"Electronics And Communication",0,8,0,0,1
681,21,Male,"Computer Science",0,5,0,0,0
682,22,Female,"Computer Science",2,8,1,0,1
683,22,Male,Mechanical,1,6,1,0,0
684,21,Male,"Computer Science",1,7,0,0,0
685,21,Male,"Information Technology",0,5,0,1,0
686,22,Male,"Computer Science",1,8,0,0,1
687,22,Female,"Electronics And Communication",0,7,0,0,0
688,22,Male,"Computer Science",1,6,0,0,0
689,22,Female,"Computer Science",1,5,1,0,0
690,22,Male,"Computer Science",1,8,0,0,1
691,22,Female,"Information Technology",0,7,0,1,0
692,21,Male,"Electronics And Communication",2,6,1,1,0
693,21,Male,"Information Technology",0,7,0,0,1
694,22,Male,Civil,0,6,0,0,0
695,21,Male,"Information Technology",1,5,1,1,0
696,21,Female,"Electronics And Communication",0,6,0,0,0
697,22,Male,Mechanical,0,8,1,0,1
698,21,Male,Electrical,1,6,0,0,0
699,21,Male,"Electronics And Communication",0,8,0,0,1
700,22,Male,"Computer Science",1,6,0,0,1
701,22,Male,"Computer Science",1,6,0,0,0
702,21,Male,"Computer Science",0,7,0,1,0
703,22,Male,Electrical,0,8,0,0,1
704,21,Male,Mechanical,0,6,1,0,0
705,21,Male,"Electronics And Communication",1,7,0,0,1
706,22,Female,"Computer Science",2,7,1,0,0
707,21,Male,"Information Technology",1,8,0,0,1
708,21,Male,"Information Technology",1,8,0,1,1
709,21,Male,"Computer Science",0,8,0,0,1
710,21,Male,"Electronics And Communication",1,8,1,1,1
711,21,Male,"Electronics And Communication",0,7,0,0,1
712,21,Male,"Computer Science",2,7,0,0,1
713,21,Male,"Electronics And Communication",2,8,0,0,1
714,22,Male,"Information Technology",2,6,0,0,1
715,22,Male,"Computer Science",1,6,0,0,0
716,21,Male,Electrical,1,7,0,1,1
717,21,Female,"Information Technology",2,6,1,0,1
718,21,Female,Mechanical,1,7,0,0,0
719,21,Male,"Electronics And Communication",1,7,0,0,0
720,22,Male,Electrical,0,7,1,0,0
721,21,Female,"Electronics And Communication",2,7,0,0,1
722,21,Female,"Computer Science",1,7,1,0,0
723,21,Female,"Information Technology",2,8,0,0,1
724,21,Male,"Information Technology",0,6,0,1,0
725,21,Male,Mechanical,0,8,1,0,1
726,22,Male,"Computer Science",1,6,0,0,0
727,22,Male,Mechanical,0,8,1,0,1
728,22,Male,Electrical,0,6,0,0,0
729,22,Male,Mechanical,0,8,1,0,1
730,21,Male,"Computer Science",1,8,0,0,1
731,22,Male,"Information Technology",1,6,0,0,0
732,22,Male,Mechanical,1,6,0,0,0
733,22,Male,Civil,0,6,1,1,0
734,21,Female,Electrical,0,7,0,0,0
735,21,Male,"Electronics And Communication",1,6,0,1,0
736,21,Male,"Information Technology",0,6,0,0,0
737,21,Female,"Information Technology",1,5,1,0,0
738,21,Female,"Computer Science",0,6,1,1,0
739,21,Female,"Electronics And Communication",1,8,1,1,1
740,22,Male,"Information Technology",1,5,0,0,0
741,21,Male,"Electronics And Communication",0,7,0,0,1
742,22,Female,"Information Technology",1,8,0,0,1
743,21,Male,Mechanical,1,5,1,1,0
744,22,Male,"Computer Science",1,6,0,0,1
745,22,Male,Mechanical,1,8,1,0,1
746,21,Male,"Electronics And Communication",0,8,0,0,1
747,22,Male,Civil,0,8,1,0,1
748,22,Female,"Information Technology",0,8,0,0,1
749,22,Male,Civil,0,6,0,0,0
750,21,Male,"Information Technology",2,6,1,0,1
751,22,Male,"Information Technology",1,7,0,0,0
752,22,Male,"Computer Science",1,8,0,0,1
753,21,Male,"Computer Science",2,5,0,1,0
754,22,Male,"Computer Science",1,7,0,0,1
755,21,Male,"Information Technology",2,6,1,0,1
756,22,Male,"Electronics And Communication",1,8,0,0,1
757,22,Male,Electrical,0,5,0,0,0
758,21,Male,"Computer Science",2,8,0,0,1
759,22,Male,"Computer Science",2,8,0,1,1
760,21,Male,"Information Technology",0,5,0,1,0
761,22,Female,Electrical,0,8,0,0,1
762,22,Male,"Electronics And Communication",2,7,0,1,0
763,22,Male,"Information Technology",1,7,1,0,1
764,21,Male,Electrical,0,7,0,1,0
765,22,Female,"Information Technology",2,7,1,0,1
766,22,Female,"Computer Science",0,8,1,0,1
767,21,Male,"Electronics And Communication",1,6,1,1,0
768,22,Male,Mechanical,1,8,1,0,1
769,21,Male,"Computer Science",2,7,0,0,1
770,22,Male,Electrical,0,7,0,0,0
771,22,Male,"Computer Science",1,6,0,0,0
772,22,Male,Electrical,0,7,1,0,0
773,21,Male,"Electronics And Communication",0,8,0,1,1
774,22,Male,Mechanical,0,6,1,0,0
775,22,Male,"Electronics And Communication",1,6,1,1,0
776,22,Female,"Information Technology",0,7,0,0,1
777,22,Male,"Computer Science",2,6,0,0,1
778,21,Male,"Computer Science",0,7,0,0,1
779,21,Male,Electrical,0,6,0,0,0
780,21,Male,"Computer Science",1,7,0,0,1
781,22,Male,Electrical,1,6,0,0,0
782,21,Male,"Information Technology",2,8,0,0,1
783,22,Male,Civil,1,6,0,0,0
784,21,Male,"Computer Science",2,7,0,0,1
785,21,Female,"Information Technology",0,6,0,0,1
786,22,Female,"Information Technology",1,7,1,0,1
787,22,Male,"Computer Science",1,8,0,0,1
788,22,Male,"Computer Science",2,7,0,0,1
789,21,Male,Electrical,1,8,0,0,1
790,21,Male,Mechanical,0,8,1,0,1
791,21,Male,"Electronics And Communication",0,6,0,0,0
792,21,Male,"Information Technology",2,7,0,1,0
793,22,Male,Civil,0,6,0,0,0
794,22,Male,"Information Technology",0,8,0,1,1
795,22,Male,"Computer Science",1,8,0,1,1
796,22,Male,"Computer Science",1,6,0,0,1
797,22,Male,"Electronics And Communication",2,8,0,0,1
798,21,Female,"Computer Science",1,6,1,1,0
799,21,Male,"Computer Science",1,7,0,0,0
800,22,Male,"Computer Science",1,7,0,0,1
801,22,Male,Mechanical,1,7,1,0,0
802,22,Male,"Computer Science",1,6,0,1,0
803,21,Male,Civil,2,6,0,0,0
804,21,Male,Civil,0,6,0,0,0
805,22,Female,"Information Technology",0,6,0,0,0
806,22,Male,Electrical,2,7,0,0,0
807,22,Male,Electrical,1,6,0,0,0
808,22,Male,"Computer Science",1,8,0,0,1
809,22,Female,"Electronics And Communication",1,7,1,1,0
810,21,Male,Electrical,0,7,0,0,1
811,21,Male,"Information Technology",1,8,0,1,1
812,21,Male,Civil,1,8,0,0,1
813,22,Male,Civil,1,7,0,0,0
814,22,Male,"Electronics And Communication",0,7,0,0,0
815,21,Male,"Electronics And Communication",1,6,1,1,0
816,21,Male,"Electronics And Communication",2,6,0,0,1
817,22,Male,"Computer Science",1,7,0,0,1
818,22,Female,Mechanical,1,8,0,0,1
819,21,Male,"Electronics And Communication",1,7,0,0,0
820,21,Female,Electrical,2,8,0,0,1
821,21,Male,"Computer Science",1,8,0,0,1
822,22,Male,"Information Technology",0,8,0,0,1
823,21,Male,Electrical,1,7,0,1,1
824,21,Male,"Computer Science",2,7,0,0,1
825,22,Male,"Computer Science",2,8,0,0,1
826,21,Male,Civil,0,6,0,0,0
827,22,Male,"Information Technology",2,6,0,0,1
828,22,Female,"Electronics And Communication",2,6,0,0,1
829,22,Male,"Electronics And Communication",1,6,0,0,0
830,22,Male,"Computer Science",1,7,0,0,0
831,21,Male,"Information Technology",1,6,0,0,1
832,21,Male,Mechanical,0,8,1,0,1
833,22,Male,Civil,0,8,0,1,1
834,21,Female,"Electronics And Communication",1,8,1,1,1
835,21,Female,Electrical,0,7,0,0,0
836,22,Male,Mechanical,1,7,1,0,0
837,22,Male,"Computer Science",0,6,0,0,1
838,21,Male,Electrical,2,8,0,0,1
839,21,Male,"Computer Science",1,8,0,0,1
840,22,Female,"Information Technology",1,7,1,0,1
841,22,Male,"Electronics And Communication",1,8,0,0,1
842,22,Male,"Electronics And Communication",1,7,0,0,0
843,21,Male,Mechanical,0,8,1,0,1
844,21,Male,"Electronics And Communication",1,8,1,0,1
845,21,Male,Mechanical,2,8,1,1,1
846,21,Male,Electrical,2,7,1,1,1
847,21,Male,"Electronics And Communication",1,8,0,0,1
848,21,Male,"Computer Science",2,8,0,0,1
849,22,Male,Mechanical,1,8,1,0,1
850,22,Female,Electrical,2,7,0,0,0
851,22,Male,Civil,0,7,0,1,0
852,21,Male,Civil,2,8,1,1,1
853,21,Male,Civil,2,7,0,0,0
854,21,Male,"Electronics And Communication",0,7,0,0,0
855,22,Female,"Computer Science",1,6,1,0,1
856,21,Female,"Computer Science",0,6,1,0,1
857,21,Male,Civil,0,8,1,0,1
858,22,Male,Electrical,2,6,0,0,1
859,22,Male,Mechanical,1,6,0,0,0
860,21,Male,Mechanical,0,7,1,0,0
861,22,Male,Mechanical,2,7,1,0,0
862,22,Male,Civil,0,6,1,0,0
863,21,Female,"Information Technology",0,7,0,0,1
864,22,Female,"Electronics And Communication",1,7,0,0,0
865,21,Male,"Electronics And Communication",2,7,0,0,1
866,21,Male,"Electronics And Communication",2,6,0,0,1
867,22,Female,"Electronics And Communication",2,8,0,0,1
868,22,Male,"Information Technology",1,7,0,0,0
869,22,Female,"Information Technology",0,8,0,0,1
870,22,Male,"Electronics And Communication",1,8,0,0,1
871,21,Female,"Information Technology",0,8,0,0,1
872,22,Male,"Electronics And Communication",0,6,0,0,0
873,22,Female,Electrical,2,6,0,0,1
874,21,Male,"Electronics And Communication",0,7,0,0,1
875,22,Female,"Information Technology",1,6,0,0,1
876,22,Male,"Electronics And Communication",2,6,0,0,1
877,21,Male,"Information Technology",1,8,0,0,1
878,21,Male,Mechanical,1,6,1,0,0
879,22,Male,Mechanical,1,7,1,0,0
880,22,Male,"Computer Science",1,6,0,0,0
881,22,Male,"Electronics And Communication",3,7,0,0,0
882,22,Male,Mechanical,2,6,1,0,1
883,22,Male,Mechanical,1,6,1,0,0
884,21,Male,"Computer Science",1,8,0,0,1
885,21,Male,Mechanical,0,6,1,0,0
886,22,Male,"Information Technology",0,8,0,0,1
887,22,Male,Civil,1,6,0,0,0
888,21,Male,Mechanical,0,6,1,0,0
889,22,Male,"Electronics And Communication",2,6,0,0,1
890,22,Male,"Information Technology",0,8,0,0,1
891,21,Female,Mechanical,1,8,1,0,1
892,21,Male,"Information Technology",1,7,0,0,0
893,21,Male,Electrical,1,6,1,1,0
894,22,Male,Electrical,0,8,1,0,1
895,21,Male,"Information Technology",2,7,0,1,0
896,22,Male,"Computer Science",1,7,0,0,1
897,21,Male,"Information Technology",0,6,0,0,1
898,21,Female,"Computer Science",2,7,1,1,0
899,21,Male,Mechanical,1,8,1,0,1
900,21,Male,"Computer Science",0,8,0,1,1
901,22,Female,"Information Technology",0,6,0,0,1
902,21,Male,"Computer Science",2,8,0,0,1
903,21,Male,"Information Technology",2,6,0,0,1
904,22,Male,"Information Technology",1,7,0,0,0
905,21,Male,"Electronics And Communication",1,8,1,1,1
906,21,Male,Civil,2,7,0,0,0
907,22,Male,"Information Technology",0,8,0,0,1
908,22,Male,"Computer Science",1,6,0,0,0
909,21,Female,"Computer Science",2,8,1,0,1
910,22,Female,"Information Technology",0,8,0,0,1
911,22,Male,Mechanical,1,6,1,0,0
912,22,Male,"Computer Science",0,6,0,1,1
913,21,Male,"Information Technology",0,6,0,0,1
914,22,Male,Mechanical,1,7,1,0,0
915,22,Male,"Information Technology",1,8,0,0,1
916,22,Male,"Information Technology",1,6,0,0,0
917,21,Male,"Computer Science",0,6,0,1,0
918,21,Female,Electrical,1,8,0,0,1
919,21,Male,Electrical,1,6,0,0,0
920,21,Male,Electrical,0,6,0,0,0
921,21,Male,"Electronics And Communication",1,7,0,0,0
922,21,Male,Mechanical,1,6,1,0,0
923,22,Male,"Information Technology",1,8,0,1,1
924,22,Female,Mechanical,1,7,1,0,0
925,22,Male,Electrical,1,6,0,0,0
926,22,Male,Mechanical,0,6,1,0,0
927,22,Female,"Computer Science",1,7,1,0,0
928,22,Male,Mechanical,2,8,1,0,1
929,21,Male,"Information Technology",1,8,0,0,1
930,21,Female,Mechanical,1,8,1,0,1
931,22,Male,"Information Technology",1,7,0,0,0
932,22,Male,Electrical,1,7,0,0,0
933,21,Male,"Electronics And Communication",0,8,0,0,1
934,22,Male,Civil,1,6,0,0,0
935,22,Male,"Electronics And Communication",0,8,0,0,1
936,21,Female,"Electronics And Communication",1,9,0,0,1
937,21,Male,"Information Technology",0,7,0,0,0
938,21,Male,"Information Technology",1,7,0,1,0
939,21,Male,"Information Technology",0,8,0,0,1
940,21,Male,"Electronics And Communication",0,9,0,0,1
941,21,Male,Electrical,0,8,0,0,1
942,21,Female,"Computer Science",2,8,1,0,1
943,21,Female,"Computer Science",1,7,1,0,1
944,22,Male,"Computer Science",1,8,0,0,1
945,22,Male,"Electronics And Communication",2,7,0,0,0
946,21,Male,Mechanical,0,7,1,0,0
947,22,Male,"Information Technology",0,7,0,0,0
948,22,Male,"Electronics And Communication",2,7,0,1,0
949,21,Male,"Electronics And Communication",0,6,0,0,0
950,21,Male,Mechanical,0,9,1,0,1
951,22,Male,Mechanical,1,8,1,0,1
952,22,Female,"Information Technology",0,7,0,0,0
953,22,Male,Mechanical,0,8,1,0,1
954,22,Male,"Computer Science",1,6,0,0,0
955,22,Male,Mechanical,1,8,1,0,1
956,22,Male,"Electronics And Communication",1,7,0,1,0
957,22,Male,"Computer Science",3,6,0,0,1
958,22,Male,"Electronics And Communication",1,8,0,1,1
959,22,Male,"Information Technology",0,6,0,0,1
960,21,Male,"Electronics And Communication",1,6,0,0,0
961,21,Female,Electrical,1,8,0,1,1
962,22,Male,"Information Technology",0,7,0,0,1
963,22,Male,"Electronics And Communication",0,7,0,0,0
964,22,Female,"Computer Science",1,7,1,0,0
965,22,Male,Civil,0,6,1,1,0
966,21,Male,"Computer Science",2,7,0,0,1
967,22,Female,"Information Technology",1,9,1,0,1
968,22,Male,"Information Technology",1,7,0,0,0
969,22,Male,Electrical,0,6,0,0,0
970,21,Male,Mechanical,2,8,1,0,1
971,21,Male,Electrical,1,8,0,0,1
972,21,Male,"Electronics And Communication",2,7,1,1,1
973,21,Female,"Information Technology",2,7,0,0,1
974,22,Male,Civil,2,7,1,0,0
975,22,Male,"Information Technology",3,8,0,0,1
976,21,Male,"Information Technology",2,9,0,0,1
977,22,Male,Mechanical,0,7,1,1,0
978,21,Male,"Computer Science",0,6,0,0,0
979,21,Male,Civil,2,7,0,1,0
980,21,Female,"Information Technology",1,6,1,0,0
981,22,Male,"Electronics And Communication",1,6,0,0,0
982,22,Male,"Information Technology",1,9,0,0,1
983,22,Male,Mechanical,1,7,1,1,0
984,22,Male,"Computer Science",1,7,0,1,0
985,22,Male,"Information Technology",1,8,0,0,1
986,21,Male,"Information Technology",1,6,0,0,0
987,21,Female,"Computer Science",2,7,1,0,1
988,22,Female,Civil,1,8,0,1,1
989,21,Male,Mechanical,0,8,1,0,1
990,21,Male,"Information Technology",1,9,0,0,1
991,22,Male,"Computer Science",3,6,0,1,0
992,22,Male,Electrical,0,8,0,1,1
993,21,Male,"Computer Science",1,8,0,0,1
994,21,Male,"Information Technology",0,6,0,0,0
995,21,Male,"Information Technology",1,8,0,0,1
996,22,Male,Mechanical,1,9,1,0,1
997,22,Male,Civil,0,8,0,0,1
998,21,Male,"Computer Science",2,9,0,0,1
999,22,Male,"Electronics And Communication",1,6,0,0,0
1000,21,Female,"Electronics And Communication",2,9,0,0,1
1001,22,Female,Civil,1,6,0,0,0
1002,21,Male,"Computer Science",0,6,0,0,0
1003,21,Male,"Electronics And Communication",1,8,0,0,1
1004,21,Male,"Information Technology",0,8,0,0,1
1005,22,Male,"Information Technology",0,7,0,0,0
1006,22,Male,"Computer Science",1,9,0,0,1
1007,21,Male,"Computer Science",1,7,0,0,0
1008,21,Male,Mechanical,0,8,1,0,1
1009,21,Male,Electrical,1,8,0,1,1
1010,22,Male,"Information Technology",1,8,1,0,1
1011,21,Male,"Information Technology",0,7,0,0,0
1012,21,Male,"Electronics And Communication",2,8,0,0,1
1013,21,Male,"Computer Science",0,7,0,0,0
1014,22,Male,"Information Technology",2,8,0,0,1
1015,21,Male,Electrical,0,6,0,0,0
1016,21,Male,Electrical,0,8,0,0,1
1017,21,Male,Mechanical,2,9,1,0,1
1018,21,Male,"Electronics And Communication",1,7,1,1,0
1019,21,Male,"Information Technology",0,7,0,0,0
1020,21,Male,Electrical,2,7,1,1,1
1021,21,Male,Civil,2,7,0,0,0
1022,21,Male,Electrical,2,8,0,1,1
1023,21,Male,Mechanical,1,9,1,1,1
1024,22,Female,Civil,1,8,0,0,1
1025,22,Female,"Computer Science",1,6,1,0,0
1026,22,Male,"Information Technology",0,6,0,0,1
1027,21,Female,"Computer Science",1,7,1,0,0
1028,22,Female,"Information Technology",1,6,0,0,1
1029,22,Male,"Information Technology",1,8,0,0,1
1030,22,Male,Civil,0,7,1,0,0
1031,24,Male,"Computer Science",1,8,0,0,1
1032,21,Male,"Computer Science",0,8,0,1,1
1033,24,Male,"Computer Science",1,6,1,1,1
1034,22,Male,"Information Technology",2,6,0,0,1
1035,22,Male,"Information Technology",1,6,0,0,1
1036,21,Male,Civil,0,6,0,0,0
1037,24,Male,"Computer Science",1,7,0,0,1
1038,21,Male,Civil,0,8,0,0,1
1039,24,Male,"Computer Science",1,7,0,0,1
1040,21,Male,"Computer Science",0,7,0,0,1
1041,24,Male,"Computer Science",1,7,0,0,1
1042,21,Male,Civil,1,7,0,0,0
1043,22,Female,Electrical,2,8,0,0,1
1044,24,Female,"Information Technology",1,6,0,0,1
1045,21,Male,Civil,1,6,0,0,0
1046,21,Male,Civil,2,9,0,0,1
1047,24,Male,"Computer Science",0,8,0,0,1
1048,21,Male,"Information Technology",2,8,0,1,1
1049,20,Female,Electrical,1,7,0,1,0
1050,22,Male,Mechanical,1,9,1,0,1
1051,21,Female,Mechanical,1,6,1,0,0
1052,21,Male,"Computer Science",1,7,0,0,1
1053,21,Female,"Information Technology",2,9,0,0,1
1054,22,Male,"Information Technology",2,8,0,0,1
1055,23,Male,"Electronics And Communication",0,7,0,0,0
1056,22,Female,"Electronics And Communication",1,8,1,1,1
1057,21,Female,Civil,1,8,0,1,1
1058,22,Male,"Electronics And Communication",1,8,0,0,1
1059,22,Male,"Information Technology",0,6,0,0,1
1060,22,Male,"Electronics And Communication",2,9,0,0,1
1061,22,Male,"Electronics And Communication",0,7,0,0,0
1062,22,Female,"Computer Science",1,8,1,0,1
1063,21,Male,"Information Technology",1,8,0,0,1
1064,21,Male,"Computer Science",1,8,0,0,1
1065,23,Male,"Computer Science",1,7,0,0,1
1066,22,Female,Civil,1,8,0,0,1
1067,22,Male,"Information Technology",2,7,1,0,1
1068,23,Male,Electrical,2,7,0,0,0
1069,21,Female,Civil,1,7,1,0,0
1070,22,Male,"Computer Science",1,7,0,0,1
1071,22,Female,"Computer Science",2,7,1,1,1
1072,21,Female,Electrical,1,9,0,0,1
1073,22,Male,"Information Technology",1,7,0,1,1
1074,24,Male,"Computer Science",1,6,0,0,1
1075,22,Male,"Computer Science",1,9,0,0,1
1076,22,Male,"Information Technology",2,7,0,0,0
1077,22,Female,"Information Technology",2,8,0,0,1
1078,24,Male,"Computer Science",0,6,0,0,1
1079,22,Male,Civil,2,9,0,1,1
1080,22,Male,"Information Technology",0,6,0,0,0
1081,21,Male,Mechanical,1,7,1,0,0
1082,22,Male,"Computer Science",1,7,0,0,1
1083,23,Male,Mechanical,0,7,0,0,0
1084,22,Male,"Information Technology",2,7,0,0,0
1085,22,Male,Mechanical,1,7,1,1,0
1086,22,Male,Electrical,1,7,0,0,0
1087,22,Male,Civil,2,8,0,0,1
1088,22,Female,"Computer Science",1,7,1,0,0
1089,23,Male,"Electronics And Communication",1,6,0,1,1
1090,22,Male,"Computer Science",2,7,0,1,0
1091,22,Male,Mechanical,0,7,1,0,0
1092,23,Male,Electrical,0,8,0,1,1
1093,21,Male,"Information Technology",1,9,1,0,1
1094,22,Male,Civil,0,8,0,0,1
1095,20,Male,Electrical,1,8,0,0,1
1096,22,Male,"Computer Science",1,8,0,0,1
1097,22,Male,"Information Technology",2,7,0,1,1
1098,24,Male,Mechanical,0,7,1,0,0
1099,22,Male,Civil,1,7,0,0,0
1100,22,Male,Mechanical,0,7,1,0,0
1101,21,Female,"Computer Science",2,8,1,0,1
1102,22,Male,"Computer Science",0,6,0,0,1
1103,24,Male,"Computer Science",2,6,0,0,1
1104,22,Male,"Electronics And Communication",0,8,0,0,1
1105,20,Male,"Computer Science",1,6,0,0,0
1106,22,Male,"Computer Science",1,8,0,0,1
1107,21,Male,Civil,2,7,1,0,1
1108,24,Male,Mechanical,0,6,1,0,1
1109,22,Male,"Computer Science",1,6,0,0,1
1110,22,Male,"Electronics And Communication",2,8,0,0,1
1111,22,Female,Electrical,1,7,0,0,0
1112,22,Male,"Computer Science",2,7,0,0,1
1113,22,Male,Mechanical,1,7,1,0,0
1114,20,Male,Civil,1,6,0,0,0
1115,21,Male,"Computer Science",1,8,0,0,1
1116,21,Male,Electrical,1,7,1,0,1
1117,23,Male,"Electronics And Communication",1,6,0,1,1
1118,21,Male,"Information Technology",0,7,0,1,1
1119,22,Male,Electrical,2,8,0,0,1
1120,23,Male,Mechanical,0,6,1,0,0
1121,22,Male,"Computer Science",0,7,0,0,1
1122,22,Male,Electrical,1,8,0,1,1
1123,22,Male,"Computer Science",1,6,0,0,0
1124,22,Female,"Information Technology",0,8,0,0,1
1125,21,Female,"Computer Science",1,8,1,0,1
1126,22,Male,Mechanical,1,7,1,0,0
1127,22,Male,"Information Technology",0,7,0,0,1
1128,21,Male,Mechanical,1,7,1,0,0
1129,23,Male,"Computer Science",0,7,0,0,0
1130,22,Male,"Computer Science",0,8,0,0,1
1131,21,Male,"Information Technology",1,9,1,0,1
1132,22,Male,"Computer Science",1,8,0,0,1
1133,21,Male,Civil,1,8,0,0,1
1134,22,Male,Electrical,0,9,0,0,1
1135,20,Male,"Computer Science",0,8,0,1,1
1136,21,Male,Mechanical,0,7,1,0,0
1137,21,Female,"Information Technology",0,9,0,0,1
1138,20,Female,"Computer Science",1,7,1,0,1
1139,21,Male,"Information Technology",1,6,0,0,1
1140,21,Male,"Electronics And Communication",0,8,0,0,1
1141,21,Male,Electrical,0,7,0,0,1
1142,21,Male,"Information Technology",1,8,0,0,1
1143,21,Female,"Computer Science",1,9,1,0,1
1144,23,Male,"Computer Science",1,7,0,0,0
1145,21,Male,Mechanical,0,7,1,0,0
1146,22,Male,"Information Technology",1,7,0,0,0
1147,21,Female,"Information Technology",1,8,0,0,1
1148,22,Male,"Computer Science",1,7,0,0,1
1149,21,Male,Mechanical,1,8,1,1,1
1150,21,Male,Mechanical,0,6,1,0,0
1151,21,Male,"Computer Science",1,7,0,0,1
1152,21,Male,Mechanical,0,9,1,1,1
1153,20,Male,Civil,0,8,0,0,1
1154,22,Male,Mechanical,1,8,1,0,1
1155,22,Male,"Information Technology",0,7,0,0,0
1156,23,Female,"Computer Science",0,7,1,1,0
1157,22,Male,"Information Technology",1,8,1,0,1
1158,21,Male,"Information Technology",0,8,0,0,1
1159,21,Male,"Electronics And Communication",0,8,0,1,1
1160,21,Male,"Information Technology",0,6,0,1,1
1161,22,Male,Civil,0,8,0,0,1
1162,24,Male,"Electronics And Communication",1,7,0,0,0
1163,21,Male,Mechanical,0,8,1,0,1
1164,21,Male,"Electronics And Communication",1,6,0,0,0
1165,21,Male,Electrical,0,8,0,0,1
1166,22,Female,"Computer Science",0,9,1,1,1
